"Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"3271-025-065","Warehousing, Distribution, Storage","1997","5","150460"
"167160039","light industrial","2018","5","150367"
"021124263","distribution warehouse","1999","5","150291"
"023821122","light industrial","1990","5","150261"
"102212111","distribution warehouse","1990","5","150235"
"026601117","storage warehouse","1967","5","150146"
"5117-017-018","Warehousing, Distribution, Storage","1985","5","150075"
"8125-061-001","Warehousing, Distribution, Storage","2010","5","150032"
"7310-013-098","Warehousing, Distribution, Storage","1993","5","150003"
"021131205","distribution warehouse","2002","5","149992"
"626420053","light industrial","2008","5","149947"
"7319-039-130","Warehousing, Distribution, Storage","2005","5","149904"
"8619-003-027","Warehousing, Distribution, Storage","2019","5","149846"
"2206-005-023","Warehousing, Distribution, Storage","1998","5","149781"
"8125-015-020","Warehousing, Distribution, Storage","2004","5","149757"
"763141021","warehouse/dry storage","1989","5","149655"
"3271-027-083","Warehousing, Distribution, Storage","2005","5","149453"
"8206-019-057","Warehousing, Distribution, Storage","1973","5","149423"
"757150006","light industrial","1975","5","149400"
"026020105","cold storage facility","2014","5","149340"
"6332-009-012","Warehousing, Distribution, Storage","1957","5","149088"
"021123260","light industrial","2020","5","149068"
"108335107","flex","2003","5","149047"
"020926225","distribution warehouse","2020","5","148978"
"8168-001-042","Warehousing, Distribution, Storage","2011","5","148975"
"419260098","warehouse/dry storage","2006","5","148958"
"8005-015-038","Warehousing, Distribution, Storage","2000","5","148941"
"2206-005-022","Warehousing, Distribution, Storage","1998","5","148939"
"119290042","light industrial","1986","5","148927"
"178350013","ct-warehouse/dry storage","1979","5","148905"
"021126115","distribution warehouse","2012","5","148871"
"247170028","warehouse/dry storage","2003","5","148852"
"102112105","light industrial","1979","5","148747"
"023918209","distribution warehouse","1984","5","148714"
"156360004","light industrial","1995","5","148610"
"111014101","distribution warehouse","1989","5","148570"
"023809187","flex","2007","5","148506"
"013640111","distribution warehouse","2017","5","148491"
"045812515","storage building","1987","5","148455"
"7318-009-110","Warehousing, Distribution, Storage","1999","5","148392"
"763350009","light industrial","1948","5","148327"
"020914507","light industrial","1969","5","148296"
"102217122","light industrial","1980","5","148274"
"957330038","warehouse/dry storage","2009","5","148273"
"023607119","light industrial","1992","5","148263"
"330090017","light industrial","1972","5","148258"
"023707112","light industrial","1986","5","148204"
"247061016","warehouse/dry storage","1969","5","148177"
"763131066","light industrial","2015","5","148056"
"7351-037-026","Warehousing, Distribution, Storage","2007","5","148056"
"7319-028-043","Warehousing, Distribution, Storage","1969","5","148034"
"263290072","light industrial","1910","5","147995"
"118030067","ct-light industrial","1984","5","147843"
"921020050","light industrial","1985","5","147822"
"246260050","warehouse/dry storage","2003","5","147783"
"8619-010-054","Warehousing, Distribution, Storage","1983","5","147781"
"263320025","light industrial","2005","5","147780"
"102712102","light industrial","1982","5","147731"
"101124115","storage warehouse","1970","5","147595"
"6027-013-013","Warehousing, Distribution, Storage","1970","5","147501"
"7306-005-041","Warehousing, Distribution, Storage","1971","5","147475"
"011327138","distribution warehouse","2000","5","147349"
"023802182","storage warehouse","2013","5","147312"
"023719109","distribution warehouse","2019","5","147217"
"7319-039-084","Warehousing, Distribution, Storage","2000","5","147053"
"022929134","storage warehouse","2001","5","147025"
"012815111","light industrial","1975","5","146814"
"8125-059-019","Warehousing, Distribution, Storage","2008","5","146806"
"8177-029-004","Warehousing, Distribution, Storage","2002","5","146760"
"021122234","flex","1988","5","146735"
"2061-003-063","Warehousing, Distribution, Storage","2020","5","146706"
"2538-012-015","Warehousing, Distribution, Storage","1990","5","146701"
"167160043","light industrial","1990","5","146683"
"8125-014-035","Warehousing, Distribution, Storage","1990","5","146435"
"920100016","warehouse/dry storage","1999","5","146408"
"257240001","light industrial","2007","5","146400"
"2407-015-007","Warehousing, Distribution, Storage","1974","5","146362"
"7351-034-069","Warehousing, Distribution, Storage","1979","5","146332"
"026013135","storage warehouse","2020","5","146282"
"3022-013-003","Warehousing, Distribution, Storage","1991","5","146222"
"107070068","light industrial","2004","5","146175"
"8026-001-069","Warehousing, Distribution, Storage","2003","5","146160"
"6066-003-070","Warehousing, Distribution, Storage","2003","5","146124"
"2629-027-067","Warehousing, Distribution, Storage","1971","5","146096"
"023714115","storage warehouse","1987","5","146079"
"102040030","light industrial","1994","5","146055"
"8541-017-036","Warehousing, Distribution, Storage","2017","5","146040"
"7414-023-024","Warehousing, Distribution, Storage","1981","5","145963"
"7318-014-018","Warehousing, Distribution, Storage","1982","5","145936"
"8605-016-018","Warehousing, Distribution, Storage","1985","5","145922"
"021122246","distribution warehouse","1988","5","145907"
"020726264","distribution warehouse","2021","5","145797"
"7316-025-112","Warehousing, Distribution, Storage","2007","5","145762"
"7315-032-044","Warehousing, Distribution, Storage","1976","5","145747"
"013633117","light industrial","2007","5","145714"
"7351-033-045","Warehousing, Distribution, Storage","2001","5","145694"
"6302-009-030","Warehousing, Distribution, Storage","1968","5","145677"
"2746-004-007","Warehousing, Distribution, Storage","1971","5","145670"
"303932103","light industrial","2001","5","145666"
"7319-039-125","Warehousing, Distribution, Storage","2003","5","145664"
"481020044","warehouse/dry storage","2021","5","145662"
"3128-007-036","Warehousing, Distribution, Storage","1973","5","145646"
"8112-007-074","Warehousing, Distribution, Storage","2005","5","145532"
"693010003","light industrial","1910","5","145457"
"291070028","light industrial","1973","5","145448"
"016106134","light industrial","1951","5","145446"
"6137-005-027","Warehousing, Distribution, Storage","2008","5","145440"
"7003-011-032","Warehousing, Distribution, Storage","1966","5","145367"
"957330019","light industrial","2006","5","145358"
"8371-012-023","Warehousing, Distribution, Storage","1999","5","145316"
"7351-030-005","Warehousing, Distribution, Storage","1967","5","145314"
"023607107","light industrial","1910","5","145259"
"102139121","light industrial","1985","5","145229"
"921041011","light industrial","1910","5","145212"
"294100062","light industrial","2021","5","145138"
"102040029","light industrial","1992","5","145136"
"6332-002-078","Warehousing, Distribution, Storage","2013","5","145117"
"7315-037-028","Warehousing, Distribution, Storage","1988","5","145107"
"107030003","warehouse/dry storage","2014","5","145087"
"8313-001-186","Warehousing, Distribution, Storage","1991","5","145063"
"6336-013-012","Warehousing, Distribution, Storage","1953","5","145021"
"102511104","light industrial","2002","5","145018"
"294190080","light industrial","2009","5","145007"
"013639305","light industrial","1963","5","144932"
"869281031","light industrial","1910","5","144922"
"6369-027-020","Warehousing, Distribution, Storage","2003","5","144910"
"5458-007-012","Warehousing, Distribution, Storage","1953","5","144898"
"156360013","light industrial","1910","5","144821"
"144010085","light industrial","2021","5","144804"
"6340-015-019","Warehousing, Distribution, Storage","1979","5","144789"
"020914333","storage warehouse","1998","5","144709"
"027403122","storage warehouse","2015","5","144655"
"7005-005-090","Warehousing, Distribution, Storage","1981","5","144608"
"8069-007-016","Warehousing, Distribution, Storage","1971","5","144606"
"118360069","light industrial","1990","5","144600"
"025217370","cold storage facility","1990","5","144490"
"7339-003-024","Warehousing, Distribution, Storage","2005","5","144488"
"105638103","storage warehouse","2014","5","144454"
"6310-008-009","Warehousing, Distribution, Storage","2000","5","144450"
"107315106","storage warehouse","2021","5","144396"
"012813107","light industrial","1974","5","144350"
"026636334","light industrial","1988","5","144342"
"6356-005-022","Warehousing, Distribution, Storage","1985","5","144213"
"763131099","ct-warehouse/cold storage","2007","5","144162"
"027403123","storage warehouse","2015","5","144144"
"011339604","distribution warehouse","2016","5","144136"
"102410007","light industrial","1989","5","144036"
"7351-033-034","Warehousing, Distribution, Storage","2001","5","143938"
"918200023","light industrial","2004","5","143937"
"2463-001-017","Warehousing, Distribution, Storage","1994","5","143927"
"6336-012-040","Warehousing, Distribution, Storage","1956","5","143824"
"250140037","light industrial","1987","5","143821"
"156020022","light industrial","2000","5","143798"
"7318-002-027","Warehousing, Distribution, Storage","1977","5","143686"
"029205220","distribution warehouse","2006","5","143620"
"610030001","light industrial","1988","5","143583"
"156210031","light industrial","1989","5","143572"
"869140038","warehouse/dry storage","1910","5","143566"
"6340-006-069","Warehousing, Distribution, Storage","1991","5","143522"
"021127518","light industrial","1992","5","143509"
"6314-003-010","Warehousing, Distribution, Storage","2015","5","143466"
"146210024","light industrial","1968","5","143406"
"156210030","light industrial","1989","5","143393"
"8728-022-018","Warehousing, Distribution, Storage","1968","5","143381"
"6129-001-042","Warehousing, Distribution, Storage","1958","5","143333"
"8329-006-039","Warehousing, Distribution, Storage","1999","5","143330"
"8245-001-072","Warehousing, Distribution, Storage","1970","5","143318"
"110039101","distribution warehouse","2007","5","143287"
"263250044","warehouse/dry storage","2005","5","143273"
"043721202","light industrial","2000","5","143138"
"102245103","light industrial","1989","5","143099"
"6332-013-026","Warehousing, Distribution, Storage","1987","5","143098"
"023809170","light industrial","1989","5","143088"
"219322003","ct-light industrial","1959","5","143062"
"7351-033-031","Warehousing, Distribution, Storage","2000","5","143001"
"102101123","light industrial","1974","5","142996"
"020926128","distribution warehouse","2004","5","142772"
"673221024","warehouse/dry storage","1999","5","142748"
"7352-003-071","Warehousing, Distribution, Storage","2001","5","142702"
"023215209","light industrial","1999","5","142700"
"022911163","light industrial","1992","5","142635"
"020914323","light industrial","1973","5","142582"
"111804112","distribution warehouse","2006","5","142490"
"102720106","distribution warehouse","2014","5","142484"
"6310-008-015","Warehousing, Distribution, Storage","1999","5","142467"
"062512107","storage building","1970","5","142296"
"6310-010-012","Warehousing, Distribution, Storage","1956","5","142291"
"102101122","distribution warehouse","2000","5","142211"
"028025135","light industrial","1980","5","142156"
"115210009","light industrial","1986","5","142105"
"026601121","flex","2008","5","142074"
"6132-004-030","Warehousing, Distribution, Storage","1974","5","142063"
"294650001","warehouse/dry storage","2019","5","142053"
"909370007","light industrial","2006","5","142005"
